onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
174.22486966666665	252.21896666666672	epochs	0							
174.22486966666665	3.6302333333333365	trials	0	1.0	Lp	L	p	174.33450299999998	175.40476966666665	176.774103
177.85510299999999	4.879500000000007	trials	0	2.0	Rm	R	m	179.424503	180.494703	181.66356966666666
182.734603	4.889700000000005	trials	0	3.0	Rr	R	r	184.31453633333334	185.38453633333333	186.54443633333332
187.624303	5.0899	trials	0	4.0	Lt	L	t	189.19493633333332	190.26410299999998	191.64426966666667
192.714203	5.239899999999977	trials	0	5.0	Li	L	i	194.28463633333334	195.35453633333333	196.88486966666665
197.954103	5.2903666666666425	trials	0	6.0	Lm	L	m	199.52463633333332	200.59483633333332	202.17446966666665
203.24446966666665	4.9398000000000195	trials	0	7.0	Lr	L	r	204.8249363333333	205.894103	207.114903
208.18426966666667	4.990333333333325	trials	0	8.0	Ri	R	i	209.755003	210.824703	212.09480299999998
213.174603	5.250066666666669	trials	0	9.0	Rp	R	p	214.744103	215.814103	217.34470299999998
218.42466966666666	4.9798000000000116	trials	0	10.0	Rt	R	t	219.99446966666665	221.06446966666667	222.334103
223.40446966666667	5.039399999999972	trials	0	11.0	Rt	R	t	224.98053633333333	226.05450299999998	227.37393633333332
228.44386966666667	4.9903666666666595	trials	0	12.0	Li	L	i	230.01410299999998	231.08473633333332	232.35446966666666
233.43423633333333	5.039866666666683	trials	0	13.0	Rp	R	p	235.00366966666667	236.07390299999997	237.39463633333332
238.474103	5.29019999999997	trials	0	14.0	Rm	R	m	240.043903	241.114103	242.684203
243.76430299999998	5.240000000000009	trials	0	15.0	Lm	L	m	245.33450299999998	246.40470299999998	247.93393633333332
249.004303	5.0902333333333445	trials	0	16.0	Rr	R	r	250.57453633333333	251.64430299999998	253.02466966666665
254.09453633333334	4.890299999999968	trials	0	17.0	Lp	L	p	255.66383633333334	256.734503	257.904503
258.9848363333333	5.039100000000019	trials	0	18.0	Lt	L	t	260.5545363333333	261.624703	262.954103
264.0239363333333	5.290166666666664	trials	0	19.0	Lr	L	r	265.594003	266.6639696666667	268.244103
269.314103	5.247500000000002	trials	0	20.0	Ri	R	i	270.8842696666667	271.9545363333333	273.48353633333335
274.561603	4.882933333333369	trials	0	21.0	Lp	L	p	276.133903	277.2039696666667	278.37393633333335
279.4445363333333	5.139566666666724	trials	0	22.0	Ri	R	i	281.023803	282.093703	283.51363633333335
284.584103	4.789999999999964	trials	0	23.0	Rm	R	m	286.164103	287.234103	288.294103
289.374103	5.14020000000005	trials	0	24.0	Lr	L	r	290.943703	292.0144696666666	293.43436966666667
294.514303	4.929733333333331	trials	0	25.0	Rr	R	r	296.08453633333335	297.15366966666664	298.3738696666667
299.4440363333333	4.8402333333333445	trials	0	26.0	Lm	L	m	301.02363633333334	302.09450300000003	303.204303
304.28426966666666	4.990033333333372	trials	0	27.0	Rp	R	p	305.853703	306.9237363333333	308.1942363333333
309.27430300000003	5.189333333333366	trials	0	28.0	Li	L	i	310.843703	311.91376966666667	313.39453633333335
314.46363633333334	5.037966666666591	trials	0	29.0	Lt	L	t	316.0339363333333	317.10426966666665	318.42386966666663
319.501603	5.1819999999999595	trials	0	30.0	Rt	R	t	321.074103	322.14370299999996	323.6136696666666
324.683603	4.9406666666666865	trials	0	31.0	Rp	R	p	326.262103	327.3339363333333	328.54426966666665
329.6242696666667	5.289633333333313	trials	0	32.0	Lm	L	m	331.194103	332.264103	333.84366966666664
334.913903	5.189566666666678	trials	0	33.0	Rt	R	t	336.48876966666666	337.554103	339.03433633333333
340.1034696666667	5.090366666666682	trials	0	34.0	Rm	R	m	341.674303	342.744103	344.12353633333333
345.19383633333337	4.979766666666592	trials	0	35.0	Lp	L	p	346.7635363333333	347.844103	349.103703
350.17360299999996	4.940500000000043	trials	0	36.0	Lt	L	t	351.75363633333336	352.814103	354.033903
355.114103	5.239366666666683	trials	0	37.0	Ri	R	i	356.68376966666665	357.7539363333333	359.273303
360.3534696666667	5.130433333333372	trials	0	38.0	Li	L	i	361.9232363333333	362.99330299999997	364.4136696666667
365.483903	5.090366666666625	trials	0	39.0	Rr	R	r	367.0537363333333	368.133503	369.503603
370.5742696666666	5.039666666666733	trials	0	40.0	Lr	L	r	372.143303	373.214103	374.533903
375.6139363333333	5.089366666666706	trials	0	41.0	Rm	R	m	377.18393633333335	378.254103	379.62326966666666
380.703303	4.980599999999981	trials	0	42.0	Lp	L	p	382.273903	383.344103	384.614103
385.683903	5.200400000000002	trials	0	43.0	Li	L	i	387.26370299999996	388.333603	389.803903
390.884303	4.878999999999962	trials	0	44.0	Rr	R	r	392.453103	393.523303	394.694103
395.76330299999995	5.240433333333385	trials	0	45.0	Lm	L	m	397.33366966666665	398.403103	399.933703
401.00373633333334	5.090366666666682	trials	0	46.0	Rt	R	t	402.573103	403.643103	405.01393633333333
406.094103	5.1889999999999645	trials	0	47.0	Lr	L	r	407.663303	408.733303	410.21383633333335
411.283103	5.140733333333287	trials	0	48.0	Ri	R	i	412.85310300000003	413.92326966666667	415.35380299999997
416.4238363333333	4.98993333333334	trials	0	49.0	Lt	L	t	417.993703	419.0636363333333	420.33390299999996
421.41376966666667	5.030066666666698	trials	0	50.0	Rp	R	p	422.9834696666667	424.0538363333333	425.37363633333337
470.72493966666667	251.14866666666666	epochs	1							
470.72493966666667	3.3496666666666783	trials	1	1.0	Rt	R	t	470.804773	471.87417300000004	472.994573
474.07460633333335	4.880100000000027	trials	1	2.0	Lm	L	m	475.64457300000004	476.71460633333334	477.884673
478.9547063333334	5.189466666666647	trials	1	3.0	Lr	L	r	480.524873	481.60400633333336	483.0743396666667
484.144173	5.099999999999966	trials	1	4.0	Rm	R	m	485.7246063333333	486.7945396666667	488.163973
489.24417300000005	4.83063333333331	trials	1	5.0	Rr	R	r	490.81400633333334	491.8838063333334	493.004773
494.07480633333336	5.23896666666667	trials	1	6.0	Lt	L	t	495.6438396666667	496.7139396666667	498.24417300000005
499.313773	4.890999999999963	trials	1	7.0	Rp	R	p	500.8847063333334	501.96480633333334	503.12470633333334
504.20477300000005	5.089833333333274	trials	1	8.0	Lp	L	p	505.7740063333334	506.84390633333334	508.21433966666666
509.2946063333334	5.289766666666651	trials	1	9.0	Li	L	i	510.86417300000005	511.93417300000004	513.514173
514.584373	4.9396333333332905	trials	1	10.0	Ri	R	i	516.154173	517.223973	518.444673
519.5240063333333	5.037166666666735	trials	1	11.0	Rt	R	t	521.093973	522.1639063333333	523.4837396666667
524.561173	5.083133333333308	trials	1	12.0	Li	L	i	526.133973	527.2037396666667	528.572773
