onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
249.08997	258.25243333333333	epochs	0							
249.08997	3.75	trials	0	1.0	Lr	L	r	249.22997	250.33997	251.67997
252.83997	5.270200000000045	trials	0	2.0	Rr	R	r	254.44997	255.54997	257.00017
258.11017	5.13900000000001	trials	0	3.0	Lm	L	m	259.71017	260.82017	262.13017
263.24917	5.0002333333333695	trials	0	4.0	Lp	L	p	264.82917	265.93917	267.13940333333335
268.24940333333336	4.980199999999968	trials	0	5.0	Rt	R	t	269.86940333333337	270.96953666666667	272.11957
273.22960333333333	4.9500000000000455	trials	0	6.0	Rm	R	m	274.81960333333336	275.9196033333333	277.06960333333336
278.1796033333333	5.159233333333361	trials	0	7.0	Lt	L	t	279.76960333333335	280.86860333333334	282.22883666666667
283.3388366666667	5.31013333333334	trials	0	8.0	Li	L	i	284.91897	286.01897	287.53897
288.64897	5.25	trials	0	9.0	Ri	R	i	290.23897	291.33897	292.78917
293.89897	4.959199999999953	trials	0	10.0	Rp	R	p	295.48897	296.59917	297.73917
298.85817	5.120233333333317	trials	0	11.0	Lr	L	r	300.45817	301.56817	302.85817
303.97840333333335	5.139999999999986	trials	0	12.0	Lt	L	t	305.55840333333333	306.66840333333334	308.00837
309.11840333333333	5.36020000000002	trials	0	13.0	Rp	R	p	310.71860333333336	311.8184033333333	313.35860333333335
314.47860333333335	5.428999999999974	trials	0	14.0	Rr	R	r	316.0576033333333	317.1676033333333	318.76760333333334
319.9076033333333	5.350233333333335	trials	0	15.0	Lp	L	p	321.4978033333333	322.5978366666667	324.15797
325.25783666666666	5.010133333333329	trials	0	16.0	Rt	R	t	326.84797000000003	327.94797	329.15797
330.26797	5.159200000000055	trials	0	17.0	Ri	R	i	331.84797000000003	332.97797	334.31717000000003
335.42717	5.309966666666696	trials	0	18.0	Rm	R	m	337.01717	338.12717	339.62740333333335
340.7371366666667	5.360266666666632	trials	0	19.0	Li	L	i	342.3374033333333	343.42717	344.9674033333333
346.0974033333333	5.399000000000001	trials	0	20.0	Lm	L	m	347.68740333333335	348.7874033333334	350.38760333333335
351.4964033333333	5.060200000000009	trials	0	21.0	Ri	R	i	353.08657	354.19657	355.4566033333333
356.5566033333333	5.220199999999977	trials	0	22.0	Li	L	i	358.15660333333335	359.2568033333333	360.65683666666666
361.7768033333333	5.040166666666721	trials	0	23.0	Rp	R	p	363.37560333333334	364.46697	365.70697
366.81696999999997	5.3291666666666515	trials	0	24.0	Lp	L	p	368.42613666666665	369.53597	371.03616999999997
372.1461366666667	5.170033333333322	trials	0	25.0	Rt	R	t	373.74613666666664	374.83617000000004	376.19617
377.31617	4.900000000000034	trials	0	26.0	Rr	R	r	378.91616999999997	380.00613666666663	381.09617000000003
382.21617000000003	5.349199999999996	trials	0	27.0	Lm	L	m	383.79640333333333	384.90637000000004	386.45560333333333
387.56537000000003	5.370200000000011	trials	0	28.0	Lr	L	r	389.1456033333333	390.25560333333334	391.79560333333336
392.93557	5.200233333333358	trials	0	29.0	Lt	L	t	394.51560333333333	395.62560333333334	397.01580333333334
398.13580333333334	5.209033333333309	trials	0	30.0	Rm	R	m	399.73583666666667	400.8458033333334	402.23897
403.34483666666665	5.200133333333383	trials	0	31.0	Ri	R	i	404.95497	406.05497	407.44497
408.54497000000003	5.330199999999991	trials	0	32.0	Rm	R	m	410.14497	411.25517	412.76517
413.87517	4.980000000000018	trials	0	33.0	Lp	L	p	415.47517	416.57517	417.72517
418.85517000000004	5.279233333333309	trials	0	34.0	Li	L	i	420.44417	421.54437	423.00457
424.13440333333335	5.120199999999954	trials	0	35.0	Rp	R	p	425.74440333333337	426.84440333333333	428.15460333333334
429.2546033333333	5.07000000000005	trials	0	36.0	Lt	L	t	430.8646033333333	431.96460333333334	433.21460333333334
434.32460333333336	5.199233333333325	trials	0	37.0	Lr	L	r	435.91460333333333	437.0146033333333	438.43380333333334
439.5238366666667	5.1901333333333355	trials	0	38.0	Rt	R	t	441.13383666666664	442.2338033333333	443.58397
444.71397	5.0301666666666165	trials	0	39.0	Rr	R	r	446.31417	447.43397000000004	448.62397
449.7441366666667	5.36003333333332	trials	0	40.0	Lm	L	m	451.33397	452.43413666666663	453.98417
455.10417	5.039199999999994	trials	0	41.0	Rm	R	m	456.70317	457.81317	459.0034033333333
460.14337	5.360033333333263	trials	0	42.0	Lp	L	p	461.73340333333334	462.8434033333333	464.3936033333333
465.5034033333333	5.400199999999984	trials	0	43.0	Rt	R	t	467.0834033333333	468.19357	469.79360333333335
470.9036033333333	5.069000000000017	trials	0	44.0	Rr	R	r	472.48357	473.60257	474.84260333333333
475.9726033333333	5.2701999999999884	trials	0	45.0	Rp	R	p	477.5828366666667	478.66283666666664	480.12297
481.2428033333333	5.290166666666664	trials	0	46.0	Lm	L	m	482.82297	483.93297	485.43297
486.53297	5.269200000000069	trials	0	47.0	Lt	L	t	488.13297	489.23297	490.69217000000003
491.80217000000005	5.109999999999957	trials	0	48.0	Li	L	i	493.4124033333334	494.50217	495.79217
496.91217	5.070199999999943	trials	0	49.0	Lr	L	r	498.51240333333334	499.61237	500.8624033333333
501.98237	5.36003333333332	trials	0	50.0	Ri	R	i	503.56240333333335	504.67240333333336	506.2124033333333
750.7296933333333	255.60136666666665	epochs	1							
750.7296933333333	3.7801999999999225	trials	1	1.0	Rm	R	m	750.8496933333333	751.9696266666666	753.3686933333332
754.5098933333333	5.099033333333296	trials	1	2.0	Lt	L	t	756.0986933333332	757.2086933333333	758.4690599999999
759.6089266666667	5.080133333333265	trials	1	3.0	Rt	R	t	761.1990599999999	762.3090599999999	763.5790599999999
764.6890599999999	5.150199999999927	trials	1	4.0	Rr	R	r	766.26906	767.37906	768.7190599999999
769.83926	5.048999999999978	trials	1	5.0	Li	L	i	771.4282599999999	772.5282266666666	773.7782599999999
774.88826	5.160233333333281	trials	1	6.0	Rp	R	p	776.46826	777.57826	778.9282599999999
780.0484933333332	5.429966666666701	trials	1	7.0	Ri	R	i	781.6384933333333	782.7484933333333	784.3684933333333
785.4784599999999	4.899233333333314	trials	1	8.0	Lr	L	r	787.0584933333333	788.1476933333333	789.2778933333333
790.3776933333332	5.0	trials	1	9.0	Lm	L	m	791.9776599999999	793.0776933333333	794.2330599999999
795.3776933333332	5.080366666666691	trials	1	10.0	Lp	L	p	796.9676933333333	798.0678933333332	799.3480599999999
